Serial_No,Shop_ID,Product_ID,Quantity_Sold_per_week,Sales_per-Week,Profit_per_week
1,SH01,D01,71,4260,1420
2,SH01,D02,110,5500,1870
3,SH01,D04,97,9700,4462
4,SH01,D06,109,3815,1853
5,SH01,D08,100,7500,3200
6,SH01,D09,99,3960,990
7,SH01,D08,102,16320,3060
8,SH01,S1,83,5395,2490
9,SH01,S2,118,7080,2596
10,SH01,B01,88,3520,1320
11,SH01,B03,68,680,272
12,SH01,D09,126,8820,2772
13,SH01,B04,108,9720,4428
14,SH01,B09,58,870,232
15,SH02,D04,71,7100,3266
16,SH02,D06,95,3325,1615
17,SH02,D08,87,13920,2610
18,SH02,S1,129,8385,3870
19,SH02,S2,113,6780,2486
20,SH02,B01,130,5200,1950
21,SH02,B03,59,590,236
22,SH02,D09,95,6650,2090
23,SH02,B04,82,7380,3362
24,SH02,B09,71,1065,284
25,SH03,D01,100,6000,2000
26,SH03,D04,129,12900,5934
27,SH03,D06,66,2310,1122
28,SH03,D08,107,8025,3424
29,SH03,D09,74,2960,740
30,SH03,D08,55,8800,1650
31,SH03,S1,83,5395,2490
32,SH03,S2,90,5400,1980
33,SH03,B01,83,3320,1245
34,SH03,B03,102,1020,408
35,SH03,D09,91,6370,2002
36,SH03,B04,120,10800,4920
37,SH03,B05,76,1520,608
38,SH03,B06,94,2820,1034
39,SH03,B09,97,1455,388
40,SH04,D01,108,6480,2160
41,SH04,D04,90,9000,4140
42,SH04,D06,74,2590,1258
43,SH04,D08,102,16320,3060
44,SH04,S1,75,4875,2250
45,SH04,S2,118,7080,2596
46,SH04,B01,117,4680,1755
47,SH04,B03,96,960,384
48,SH04,D09,71,4970,1562
49,SH04,B04,72,6480,2952
50,SH04,B09,72,1080,288
51,SH05,D08,63,10080,1890
52,SH05,B01,127,5080,1905
53,SH05,B03,88,880,352
54,SH05,D09,67,4690,1474
55,SH05,B04,94,8460,3854
56,SH05,B09,107,1605,428
57,SH06,D01,50,3000,1000
58,SH06,D04,67,6700,3082
59,SH06,D06,88,3080,1496
60,SH06,S1,114,7410,3420
61,SH06,S2,69,4140,1518
62,SH06,B01,93,3720,1395
63,SH06,B03,128,1280,512
64,SH06,D09,125,8750,2750
65,SH06,B04,96,8640,3936
66,SH06,B09,124,1860,496
67,SH07,D04,58,5800,2668
68,SH07,D06,68,2380,1156
69,SH07,S1,75,4875,2250
70,SH07,S2,115,6900,2530
71,SH07,B01,58,2320,870
72,SH07,B03,98,980,392
73,SH07,D09,74,5180,1628
74,SH07,B04,73,6570,2993
75,SH07,B09,70,1050,280
76,SH08,D01,76,4560,1520
77,SH08,D04,127,12700,5842
78,SH08,D06,54,1890,918
79,SH08,D08,62,4650,1984
80,SH08,D09,105,4200,1050
81,SH08,D08,115,18400,3450
82,SH08,S1,62,4030,1860
83,SH08,S2,120,7200,2640
84,SH08,B01,117,4680,1755
85,SH08,B03,108,1080,432
86,SH08,D09,109,7630,2398
87,SH08,B04,108,9720,4428
88,SH08,D10,93,2325,1023
89,SH08,B09,61,915,244
90,SH08,D04,69,6900,3174
91,SH08,D06,73,2555,1241
92,SH08,S1,86,5590,2580
93,SH08,S2,97,5820,2134
94,SH08,B01,67,2680,1005
95,SH08,B03,96,960,384
96,SH08,D09,56,3920,1232
97,SH08,B04,79,7110,3239
98,SH08,B09,68,1020,272
99,SH08,D04,65,6500,2990
100,SH08,D06,101,3535,1717
101,SH08,S1,71,4615,2130
102,SH08,B01,104,4160,1560
103,SH08,B03,92,920,368
