Store_Id,Store_Name,SE_ID,Building_ID,BT_ID,Outlet_ID
SH01,Diamond Bakery,SE01,B01,B001,OTL02
SH02,Srinivas Kirana General Store,SE01,B02,B002,OTL22
SH03,Seven Level Bakery,SE01,B01,B001,OTL02
SH04,Sri Sai Baba Kirana General Store,SE01,B02,B002,OTL22
SH05,Krishna Medical General Store,SE01,B02,B003,OTL22
SH06,Shagun Kirana General Store,SE01,B02,B002,OTL22
SH07,Bhagua Laxmi Kirana General Store,SE01,B02,B002,OTL02
SH08,Sai Baba Kirana General Store,SE01,B03,B002,OTL09
SH09,Sai Little Super Basket,SE01,B01,B002,OTL02
SH10,Om Sai Laxmi Kirana General Store,SE01,B02,B002,OTL22
SH11,Sri Laxmi Narasimha Kirana General Store,SE01,B02,B002,OTL22
SH12,Ruby Frozen Foods,SE02,B04,B004,OTL02
SH13,Heritage Fresh ,SE03,B05,B005,OTL01
SH14,Bhagya Lakshmi K G S,SE03,B06,B002,OTL05
SH15,G Mart ,SE03,B07,B002,OTL02
SH16,Om Provision Store,SE03,B08,B002,OTL22
SH17,Jai Matadi Kirana General Stores,SE04,B09,B002,OTL02
SH18,Tulasi Kirana General Stores,SE05,B10,B002,OTL02
SH19,Srinidhi Traders,SE05,B11,B002,OTL02
SH20,Meenakshi Kirana General Stores,SE05,B12,B002,OTL02
SH21,Sarada Kirana General Stores,SE05,B13,B002,OTL01
SH22,Brown Bear ,SE05,B14,B001,OTL01
SH23,Lassi N Cafe,SE05,B13,B006,OTL01
SH24,Harideep Kirana,SE05,B15,B002,OTL02
SH25,Gokul Mitai Vatika,SE05,B14,B001,OTL01
SH26,Sheton Bakery,SE05,B16,B001,OTL01
SH27,Polimeraas,SE05,B12,B007,OTL02
SH28,S V Kirana General Stores,SE05,B17,B002,OTL02
SH29,Rakesh Jain Kirana General Stores,SE05,B18,B002,OTL02
SH30,Jagadiesh Kirana General Stores,SE05,B19,B002,OTL02
SH31,Rb Kirana General Stores,SE05,B20,B002,OTL02
SH32,Sri Linoy Cake House Bakery,SE05,B21,B001,OTL01
SH33,Vijaya Laxmi Traders,SE05,B22,B006,OTL02
SH34,Ayyappa Reddy Pure Ghee Sweets,SE05,B14,B008,OTL01
SH35,Sri Siddivinayaka Traders,SE05,B22,B002,OTL02
SH36,Venkateshwara Kirana General Stores,SE05,B12,B002,OTL05
SH37,Balaji Provision Stores,SE05,B23,B002,OTL01
SH38,Sri Balaji Prithviraj Mithai Bandar,SE05,B24,B008,OTL07
SH39,Md Shareef Kirana General Stores,SE05,B10,B002,OTL02
SH40,Sri Balaji Mitai Wala,SE05,B25,B008,OTL02
SH41,Pallavi Bakery,SE05,B23,B001,OTL02
SH42,Sai Chennai Hot Puffs,SE05,B10,B001,OTL02
SH43,Aarushu Kirana General Stores,SE05,B20,B002,OTL02
SH44,Svr Mediclas,SE05,B26,B003,OTL22
SH45,Jai Bhavani Bakery,SE05,B27,B001,OTL02
SH46,Baskin Robbins,SE05,B14,B004,OTL01
SH47,Sri Srini Vasa Kirana Generl Store,SE05,B28,B002,OTL01
SH48,Ragini Stores,SE05,B20,B002,OTL02
SH49,Saleem And Sons Kirana General Stores,SE05,B27,B002,OTL02
SH50,Laxm Kiranam ,SE05,B28,B002,OTL01
SH51,Reddy Ice Cream Parlour,SE05,B12,B004,OTL02
SH52,Karthikeya Mini Market,SE05,B17,B009,OTL02
SH53,Sri Laxmi Kirana General Stores,SE05,B29,B002,OTL02
SH54,Venkys Banglore Iyengars Bakery,SE05,B30,B001,OTL01
SH55,N K Bakery,SE05,B31,B001,OTL02
SH56,Laxmi Venkata Ramana Kirana General Stores,SE05,B31,B002,OTL02
SH57,Om Sri Sai Ram Medicals,SE05,B23,B003,OTL02
SH58,Agra Sweets,SE05,B32,B008,OTL02
SH59,Siri Fresh Super Market,SE05,B12,B007,OTL02
SH60,Daily Needs Kirana General Stores,SE05,B32,B002,OTL02
SH61,Laxmi Narasimha Swamy Kirana General Stores,SE05,B13,B002,OTL01
SH62,Ram Dev Kirana And General,SE05,B33,B002,OTL02
SH63,Raj Stores,SE05,B34,B002,OTL02
SH64,Dhanalaxmi Kirana And General Stores,SE05,B35,B002,OTL18
SH65,Jaya Laxmi Sai Kirana,SE05,B36,B002,OTL18
SH66,Balaji Prithviraj Mitai Bandar,SE05,B37,B008,OTL01
SH67,Veerabadra Kirana General Stores,SE05,B10,B002,OTL02
SH68,Sri Ambika Medical General Stores,SE05,B37,B003,OTL01
SH69,Sri Kalki Bhavani Kirana General Store,SE05,B38,B002,OTL15
SH70,Manoj Kirana General Store,SE05,B39,B002,OTL18
SH71,Bakers Basket,SE05,B40,B001,OTL01
SH72,New Red Rose Bakers,SE05,B41,B001,OTL18
SH73,Anvitha Kirana General Store,SE05,B42,B002,OTL02
SH74,Sri Hanuman Kirana General Store,SE05,B43,B002,OTL02
SH75,Mp Kirana General Store,SE05,B44,B002,OTL18
SH76,Shanoor Kirana General Store,SE05,B45,B002,OTL22
SH77,Venkateshwara Kirana General Store,SE05,B46,B002,OTL05
SH78,Ayub Kirana General Store,SE05,B45,B002,OTL22
SH79,Sri Venkateshwara Kirana General Store,SE05,B47,B002,OTL02
SH80,Naaz Bakery,SE05,B48,B001,OTL18
SH81,Sri Balaji Pure Ghee Sweets,SE05,B49,B008,OTL18
SH82,Vegneswara Medical General Store,SE05,B50,B003,OTL22
SH83,Sri Venkateshwara Bakers,SE05,B51,B001,OTL09
SH84,Labbaik Sulemani Hotel,SE05,B47,B001,OTL02
SH85,Vamshi Medical General Store,SE05,B52,B003,OTL18
SH86,Deccan Kirana General Store,SE05,B44,B002,OTL18
SH87,Srinidi Kirana General Store,SE05,B53,B002,OTL15
SH88,Sai Nikil Kirana General Store,SE05,B54,B002,OTL15
SH89,Laxmi Narasimha Kirana General Store,SE05,B55,B002,OTL13
SH90,Agra Sweet House,SE05,B56,B008,OTL22
SH91,Sai Sree Kirana General Store,SE05,B57,B002,OTL22
SH92,Bal Reddy Sweet Shop,SE05,B38,B008,OTL05
SH93,Swathi Stores,SE05,B44,B002,OTL18
SH94,Fizan Kirana General Store,SE05,B38,B002,OTL22
SH95,Jai Bhavani Kirana General Store,SE05,B38,B002,OTL22
SH96,Sana Kirana General Store,SE05,B38,B002,OTL02
SH97,Uma Maheswari Kirana General Store,SE05,B58,B002,OTL02
SH98,Best Bakery ,SE05,B59,B001,OTL18
SH99,Care Medical ,SE05,B52,B003,OTL09
SH100,Health Care Medical General Store,SE05,B37,B003,OTL22
SH101,Sri Srinivasa Kirana General Store,SE05,B60,B002,OTL18
SH102,Balaji Heeralal Mithai Bhandar,SE05,B52,B008,OTL18
SH103,Mohd Ishaq Kirana General Store,SE05,B61,B002,OTL02
SH104,Raghava Kirana General Store,SE05,B38,B002,OTL02
SH105,Bhavani Kirana General Store,SE05,B62,B002,OTL09
